 [1]  0.75002327 -0.56843662  0.80548080  0.75788418  0.04622566 -1.57538929
 [7] -1.06815909 -0.54229212 -0.30256379  1.69722700
  [1]  0.897696898 -0.917507737 -1.322516014 -0.325589333 -0.336919583
  [6] -0.467368417  0.303661567 -1.025439248  0.516778549 -1.426927171
 [11] -0.249856785  0.449068428  0.165555835  0.944855485 -0.055673310
 [16]  0.595683558  1.271954018 -0.791984673 -1.481595719  0.064944710
 [21] -0.263144570 -0.619983605 -0.492691889 -0.743796693  0.854898390
 [26]  1.348788632  1.163212695 -0.488280845  1.449146699 -0.313838858
 [31]  2.052741258  0.662058316 -0.515313550 -0.955881890 -1.344487012
 [36] -1.227183168 -1.805909585  1.354161567  0.977216416 -0.253412384
 [41]  0.319824729 -0.426933411  2.846687503 -0.913244312 -0.053083633
 [46]  0.301242857  0.728850207 -0.189863850 -2.572738959 -1.457218433
 [51]  0.427384111 -0.002165994 -1.082044395 -0.123883982 -0.936047117
 [56]  0.292091526 -1.644807077  0.435762228  0.299234735  0.086507354
 [61]  0.032918148  0.309603348 -0.743260509 -0.127767905  0.782161332
 [66]  1.289610866  0.177677840 -0.126123972 -1.048843382 -1.659313641
 [71] -0.915277681  1.467476454  0.907627564 -0.244336302 -0.482817785
 [76] -0.476045125  1.168819416 -0.309693780  1.469725081  0.761877321
 [81]  1.520017158 -1.003763917  0.020389201 -1.012603657  0.703312070
 [86]  0.149735587 -0.317123547  1.702020669  0.276706700  1.168304882
 [91]  0.918915360 -0.891681103 -0.704902476  0.064775260 -1.302452808
 [96]  0.680613066 -1.477123439  1.898873384 -0.570971470  1.960266719
   [1] -0.3724650153 -0.9246341752  0.0594940299  0.0615580977 -1.6229217010
   [6]  1.0739038555 -1.0699469561  0.3655175220  0.5225355283  0.1706345889
  [11] -0.0827239593  0.2294567559 -1.0197315217 -0.7578554148 -1.0641921730
  [16]  1.5931005852  1.5119443634  0.2935362256 -1.1817111873  0.0307826934
  [21]  1.5256098496 -0.4347858838  0.8215419033 -0.9263266131  0.7144714415
  [26] -0.9084096901 -1.1805332544 -0.9094481787 -0.8235215127 -0.8638642104
  [31]  0.7656705548  0.1020373047 -0.2849007571 -1.0373001155 -0.9676839266
  [36] -0.7229131835 -1.0700662709 -0.4076354234  0.4997891238 -1.1300120452
  [41]  1.4847566988 -1.2591648257 -0.0607590905  2.3720110850  0.9129935770
  [46] -0.2143045600 -0.8195569459  0.6091341731  0.0220964026 -0.3353111235
  [51]  0.3480267187 -0.4477153265  2.6570274101  1.6919272618  0.8034583032
  [56]  0.7380153029 -0.5010576442  0.9082112784 -0.3094074772 -0.9599164377
  [61]  1.8920775530 -0.8819063492 -0.2557476004 -0.5721477852 -0.8997653242
  [66]  0.6253008710 -1.4684789763 -0.1689346853 -0.5320447423 -1.3368414487
  [71] -0.0350059112 -0.3905754596 -0.5497313353  1.0022550325  0.5596385839
  [76] -0.0547726645  0.1888221135 -0.6928483781 -0.1641526888  1.1216722990
  [81]  0.0179347573  0.1940483430  2.0317347330 -0.6596872349  0.9822071137
  [86]  1.8006382590 -1.0152654268  0.0518528505 -0.3501606626 -0.4497149297
  [91] -0.9970683057 -0.8495911871  1.2866132971  0.6202363570  0.7995622227
  [96]  1.5706876770 -0.3259864645  0.8399289113 -0.0253560873 -0.4601173588
 [101]  0.9479488452  0.0708920181 -1.0172728155 -0.2007640676  1.5093842728
 [106]  1.1907043769 -1.4034658772  0.1282217039  0.8706151863 -1.5678611358
 [111]  1.4239004342 -0.4999512925  0.3093380595 -0.1568842407  1.5892204726
 [116] -1.4210641520 -0.1081897345 -1.0259632533  0.4354803629  2.2334598290
 [121] -1.4594848602 -0.0264141721 -0.1108161776  1.5551245169 -0.9340731295
 [126]  0.5242937411  1.7083706782 -0.2227416142 -0.6618912398 -0.1245351226
 [131]  0.5289730099 -0.9653270802  1.6272906849  0.0400210927 -2.8310148081
 [136] -1.0576814426  1.5610172967 -0.9291160203 -0.0656700412  0.0765270397
 [141] -1.5405898701  0.5187590971  0.4503365764  1.8829248495  1.0549284165
 [146]  0.1151555758 -0.0469479693  0.6323028062 -0.8409193914  0.1384461795
 [151]  0.3825405504  0.5773784865 -1.0844788626  1.4769585422  0.7270424783
 [156]  2.5075374967 -1.8299178772 -0.5473514988 -1.6567754515 -0.3808279525
 [161]  0.3403874753  1.7139170658 -0.4029109987 -1.1478726852 -0.2687531067
 [166]  0.6470802421  0.2138888970  1.3349617946 -0.2603964920 -1.5913945313
 [171]  0.9730393469 -1.0635587062  0.6430479983  0.5409796881  0.3989000755
 [176]  1.7349511832 -0.1688908530 -1.2619017146  0.0970682415 -0.1943731045
 [181]  0.6608962601  1.6469127376 -1.7493272315 -0.1765271630  0.1038667399
 [186]  0.5767021046 -0.6529097840  0.4197204283  0.4106900027  0.0222508546
 [191] -0.0882903273  1.4812919692  0.6992370439  1.9643261411 -0.2309335972
 [196] -1.1932033748 -0.3558763091  0.1305303646 -0.2006956064 -0.3717824760
 [201] -1.5213545802 -0.7519988781 -1.0469017341  0.3385797220  0.3745708627
 [206]  1.5532059351 -0.2905859671  0.9699724285 -0.4382949024 -1.4598693563
 [211]  0.4630943217 -0.4780292424 -0.7887757697 -0.7119218477  1.1091712127
 [216]  1.5855457724  1.0281469680 -0.2349946976 -1.2574474072  0.2540084951
