# A tibble: 19 x 9
   otu    count kingdom  phylum         class   order   family  genus  species 
   <chr>  <int> <chr>    <chr>          <chr>   <chr>   <chr>   <chr>  <chr>   
 1 taxa0      0 Bacteria Proteobacteria Deltap… Syntro… Desulf… <NA>   <NA>    
 2 taxa1      6 Bacteria Actinobacteria Actino… Actino… Coryne… Coryn… <NA>    
 3 taxa10  5580 Bacteria Proteobacteria Alphap… Sphing… Sphing… Sphin… <NA>    
 4 taxa11   495 Bacteria Bacteroidetes  Sphing… Sphing… Flexib… Dyado… <NA>    
 5 taxa12    38 Bacteria Proteobacteria Alphap… Rhizob… <NA>    <NA>   <NA>    
 6 taxa13   565 Bacteria Cyanobacteria  Chloro… Chloro… Trebou… <NA>   <NA>    
 7 taxa14     0 Bacteria ABY1_OD1       <NA>    <NA>    <NA>    <NA>   <NA>    
 8 taxa15     0 Bacteria Bacteroidetes  Sphing… Sphing… Sphing… <NA>   <NA>    
 9 taxa16     5 Bacteria Bacteroidetes  Sphing… Sphing… Flexib… Dyado… <NA>    
10 taxa17 10666 Bacteria Firmicutes     Bacilli Lactob… Lactob… Lacto… <NA>    
11 taxa18     0 Bacteria Actinobacteria Actino… Actino… Coryne… Coryn… Coryneb…
12 taxa19    63 Bacteria Cyanobacteria  Chloro… <NA>    <NA>    <NA>   <NA>    
13 taxa20   150 Bacteria Bacteroidetes  Flavob… Flavob… Flavob… <NA>   <NA>    
14 taxa21 15003 Bacteria Proteobacteria Alphap… Sphing… Sphing… Sphin… <NA>    
15 taxa22   279 Bacteria Bacteroidetes  Sphing… Sphing… Flexib… Dyado… <NA>    
16 taxa23    16 Bacteria Actinobacteria Actino… Actino… Nocard… <NA>   <NA>    
17 taxa5      0 Bacteria Cyanobacteria  S15B-M… <NA>    <NA>    <NA>   <NA>    
18 taxa7   2613 Bacteria SR1            <NA>    <NA>    <NA>    <NA>   <NA>    
19 taxa9      2 Bacteria Proteobacteria Gammap… Pseudo… Moraxe… Acine… Acineto…
