swab.id	taxa0	taxa1	taxa5	taxa7	taxa9	taxa10	taxa11	taxa12	taxa13	taxa14	taxa15	taxa16	taxa17	taxa18	taxa19	taxa20	taxa21	taxa22	taxa23
air001	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	9	0	0
air002	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0
air003	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	60	40	0	0
air004	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	6	25	2	0
air005	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	15	0	0
air006	0	0	0	0	0	19	1	0	0	0	0	0	0	0	0	11	48	0	0
air007	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	21	10	0	0
air008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	2	0	0
air009	0	0	0	0	0	19	0	0	0	0	0	0	8	0	0	22	55	4	0
air010	0	0	0	1	0	31	1	0	0	0	0	0	0	0	0	14	64	2	0
air011	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	9	127	1	0
air012	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	30	24	0	0
air013	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	8	10	0	0
air014	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	6	39	0	0
air015	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	31	8	0	0
air016	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	14	0	1
air017	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	17	21	0	0
air018	0	0	0	0	0	9	13	0	0	0	0	0	51	0	0	6	14	7	2
air019	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	5	0	0
air020	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	40	3	0	0
air021	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	34	38	0	0
air022	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	14	71	0	0
air023	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	10	88	0	0
air024	0	0	0	4	0	44	0	0	0	0	0	0	0	0	0	48	121	0	0
air025	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	47	21	0	0
air026	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	117	22	0	0
air027	0	0	0	0	0	50	4	0	0	0	0	1	2	0	0	0	117	5	0
air028	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	21	31	0	0
air029	0	0	0	0	0	58	16	0	0	0	0	0	0	0	0	44	167	12	0
air030	0	0	0	0	0	1	54	0	0	0	0	0	0	0	0	0	0	29	0
air031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	3	0	0
air032	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	15	29	0	0
air033	0	0	0	0	0	66	0	0	0	0	0	0	7	0	0	39	148	0	0
air034	0	0	0	22	0	218	3	2	0	0	0	0	0	0	0	27	461	5	0
air035	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	23	15	0	0
air036	0	0	0	0	0	75	0	0	0	0	0	0	1	0	0	20	196	0	0
air037	0	0	0	0	0	17	0	0	0	0	0	0	6	0	0	4	45	0	1
air038	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	23	74	0	0
air039	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	31	2	0	0
air040	0	0	0	0	0	70	8	0	0	0	0	0	0	0	0	4	120	3	0
air041	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	6	61	0	0
air042	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	17	72	0	0
air043	0	0	0	0	0	43	0	0	0	0	0	0	98	0	0	20	182	0	0
air044	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	13	58	0	0
air045	0	0	0	0	0	33	0	0	0	0	0	0	2	0	0	11	78	0	0
air046	0	0	0	8	0	49	29	1	0	0	0	0	0	0	0	7	69	18	0
air047	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	23	10	1	0
air048	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	101	0	0
air049	0	0	0	0	0	16	0	0	0	0	0	0	9	0	0	16	64	0	0
air050	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	6	55	0	0
air051	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	9	12	0	0
air052	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	18	0	0
air053	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	2	56	0	0
air054	0	0	0	6	0	9	1	0	0	0	0	0	13	0	0	16	44	2	0
air055	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	13	0	0
air056	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	7	22	0	0
air057	0	0	0	0	0	48	7	0	0	0	0	0	0	0	0	8	203	5	0
air058	0	0	0	0	0	65	5	0	0	0	0	0	0	0	0	6	137	1	0
air059	0	0	0	0	0	58	9	1	0	0	0	1	1	0	0	13	170	2	0
air060	0	0	0	0	0	7	1	0	0	0	0	0	1	0	0	1	11	0	0
air061	0	0	0	0	0	135	5	2	0	0	0	0	2	0	0	0	345	7	0
air062	0	0	0	0	0	96	24	1	0	0	0	1	0	0	0	0	318	11	0
air063	0	0	0	0	0	218	34	0	0	0	0	1	0	0	0	1	409	20	0
air064	0	0	0	0	0	231	22	0	0	0	0	0	45	0	0	13	436	7	0
air065	0	0	0	0	0	47	31	0	0	0	0	1	20	0	0	8	112	14	0
air066	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	33	43	0	0
air067	0	0	0	0	0	64	73	1	0	0	0	0	19	0	0	11	220	38	0
air068	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	23	74	0	0
air069	0	0	0	0	0	222	28	0	0	0	0	0	0	0	0	1	474	8	0
air070	0	0	0	1	0	202	37	0	0	0	0	0	0	0	0	1	427	16	0
air071	0	0	0	0	0	182	32	2	0	0	0	0	0	0	0	1	525	18	0
air072	0	0	0	0	0	164	22	2	0	0	0	0	0	0	0	1	438	10	0
air073	0	0	0	1	0	137	23	0	0	0	0	0	2	0	0	0	332	13	0
air074	0	0	0	0	0	90	18	0	0	0	0	0	0	0	0	1	338	20	0
air075	0	0	0	0	0	60	4	0	0	0	0	0	1	0	0	5	204	7	0
air076	0	0	0	0	0	132	22	0	0	0	0	0	0	0	0	0	316	10	0
air077	0	0	0	0	0	19	9	0	0	0	0	0	2	0	0	21	60	9	0
air078	0	0	0	0	0	67	13	0	0	0	0	0	0	0	0	27	162	8	0
air079	0	0	0	0	0	30	1	0	0	0	0	0	0	0	0	4	92	4	0
air080	0	0	0	0	0	10	8	0	0	0	0	0	1	0	0	15	30	7	0
air081	0	0	0	0	0	174	19	0	0	0	0	0	6	0	0	4	350	7	0
air082	0	0	0	0	0	169	18	0	0	0	0	0	0	0	0	2	300	8	0
air083	0	0	0	0	0	113	21	0	0	0	0	0	0	0	0	2	285	9	0
air084	0	0	0	0	0	97	14	0	0	0	0	0	5	0	0	0	288	11	0
air085	0	0	0	0	0	76	24	0	0	0	0	1	2	0	0	0	247	7	0
air086	0	0	0	0	0	153	32	0	0	0	0	0	2	0	0	1	464	24	0
air087	0	0	0	0	0	67	16	0	0	0	0	1	3	0	0	0	157	1	0
air088	0	0	0	0	0	101	19	0	0	0	0	1	3	0	0	17	210	6	0
air089	0	0	0	0	0	71	10	0	0	0	0	0	1	0	0	1	165	10	0
air090	0	0	0	0	0	129	26	1	0	0	0	0	0	0	0	0	372	9	0
air091	0	0	0	0	0	121	23	0	1	0	0	0	1	0	0	4	333	13	0
air092	0	0	0	2	0	59	12	0	0	0	0	0	11	0	0	43	198	9	0
air093	0	0	0	0	0	105	23	0	1	0	0	0	0	0	0	0	411	14	0
air094	0	0	0	2	0	175	15	1	0	0	0	0	0	0	0	0	381	10	0
air095	0	0	0	0	0	187	30	1	0	0	0	2	8	0	0	4	576	13	1
air096	0	0	0	0	0	233	33	0	0	0	0	0	0	0	0	13	596	14	0
air097	0	1	0	0	0	721	167	3	0	0	0	1	2	0	0	7	2346	93	0
air098	0	0	0	0	0	453	109	2	0	0	0	2	1	0	0	1	1724	74	0
air099	0	0	0	0	0	1458	277	1	0	0	0	3	2	0	0	11	2916	148	1
air100	0	0	0	0	0	894	159	1	0	0	0	1	0	0	0	8	1833	83	0
air101	0	0	0	0	0	338	53	0	0	0	0	0	0	0	0	2	785	28	0
air102	0	0	0	0	0	467	102	4	0	0	0	0	1	0	0	4	1356	60	1
air103	0	0	0	0	0	553	168	2	0	0	0	0	1	0	0	10	1884	100	0
air104	0	0	0	0	0	869	211	1	0	0	0	2	4	0	0	7	2655	124	0
