swab.id	date	pd	type	location	location2	tier	xcor	ycor
Swab.162.02	4	20.69629	wall	south	high	wall	6	1
Swab.162.03	4	21.47436	wall	south	low	wall	20	1
Swab.162.04	4	23.31818	wall	south	high	wall	20	1
Swab.162.05	4	20.70478	floor	f7	7	mid	17	11
Swab.162.06	4	22.95442	floor	f10	10	back	13	5
Swab.162.07	4	23.14267	floor	f8	8	mid	14	11
Swab.162.08	4	19.23001	floor	f9	9	mid	10	10
Swab.162.09	4	14.71906	floor	f12	12	back	23	3
Swab.162.11	4	16.79205	chair	c14	14	back	22	11
Swab.162.12	4	16.54403	chair	c11	11	back	13	13
Swab.162.13	4	18.50113	chair	c4	4	front	8	6
Swab.162.14	4	21.49725	chair	c16	16	back	23	11
Swab.162.15	4	16.16384	chair	c13	13	back	5	11
Swab.162.16	4	11.79603	chair	c12	12	back	20	10
Swab.162.17	4	21.14145	chair	c8	8	mid	13	11
Swab.162.18	4	22.40974	chair	c3	3	front	16	5
Swab.162.19	4	22.60207	chair	c5	5	front	13	9
Swab.162.20	4	19.05011	chair	c7	7	mid	7	8
Swab.162.21	4	14.36897	chair	c9	9	mid	19	8
Swab.162.22	4	18.20715	chair	c1	1	front	10	4
Swab.162.23	4	21.94254	chair	c2	2	front	13	6
Swab.162.24	4	22.69351	chair	c6	6	front	18	6
Swab.162.25	4	20.68887	floor	f1	1	front	4	2
Swab.162.26	4	22.53489	floor	f4	4	front	4	14
Swab.162.27	4	18.71531	floor	f5	5	front	12	14
Swab.162.28	4	23.88607	floor	f6	6	front	14	13
Swab.162.29	4	24.00682	floor	f2	2	front	5	4
Swab.162.30	4	22.8966	floor	f14	14	back	22	7
Swab.162.31	4	21.28133	floor	f15	15	back	23	14
Swab.162.32	4	23.09528	floor	f3	3	front	6	9
Swab.162.33	4	18.19262	desk	d9	9	mid	19	8
Swab.162.34	4	25.02942	floor	f13	13	back	20	5
Swab.162.35	4	21.36478	desk	d1	1	front	10	4
Swab.162.36	4	20.06099	desk	d7	7	mid	7	8
Swab.162.37	5	21.47894	desk	d4	4	front	8	6
Swab.162.38	5	19.99131	desk	d14	14	back	22	11
Swab.162.39	5	23.53811	desk	d6	6	front	18	6
Swab.162.40	5	17.75774	desk	d5	5	front	13	9
Swab.162.41	5	19.05108	desk	d2	2	front	13	6
Swab.162.42	5	20.28925	desk	d8	8	mid	13	11
Swab.162.43	5	18.32719	desk	d12	12	back	20	10
Swab.162.44	5	19.78211	desk	d3	3	front	16	5
Swab.162.45	5	17.64355	desk	d0	0	front	13	4
Swab.162.46	5	20.04165	desk	d10	10	back	6	10
Swab.162.47	5	21.01318	desk	d11	11	back	13	13
Swab.162.48	5	23.50027	desk	d13	13	back	5	11
Swab.162.49	5	24.99415	wall	east	low	wall	24	11
Swab.162.50	5	23.46352	wall	west	high	wall	1	12
Swab.162.51	5	15.7354	wall	east	low	wall	24	6
Swab.162.52	5	25.17199	wall	north	low	wall	6	14
Swab.162.53	5	12.04325	wall	north	high	wall	6	14
Swab.162.54	5	25.26267	wall	north	low	wall	20	14
Swab.162.55	5	15.52524	wall	north	high	wall	20	14
Swab.162.56	5	17.56251	wall	east	high	wall	24	11
Swab.162.57	5	23.50802	wall	west	low	wall	1	12
Swab.162.58	5	19.31867	wall	east	high	wall	24	6
Swab.162.59	5	22.61043	wall	west	low	wall	1	7
Swab.162.60	5	23.31107	wall	west	high	wall	1	7
