LocationID	NumSpecies	NumCoreSpecies	NumTransientSpecies	PredominantSpeciesType	NDVI	Elevation	Longitude	Latitude
2001	75	45	15	Core	0.738277446	172.3666667	-87.6	34.86
2006	63	38	18	Core	0.703928642	180.7285714	-86.68	34.5
2017	71	52	12	Core	0.815699268	149.9	-87	33.52
2019	71	50	13	Core	0.799953598	106.877193	-88.17	33.47
2021	62	35	13	Core	0.805781902	63.81818182	-87.83	32.27
2027	70	42	12	Core	0.771619379	118.6774194	-85.55	32.31
2029	71	50	10	Core	0.7657445	92.53448276	-85.06	32.14
2034	67	48	9	Core	0.80480125	109.2931034	-86.61	31.44
2043	60	47	8	Core	0.802562756	163.5849057	-87.1	33.11
2045	72	49	7	Core	0.80217484	247.328125	-87.76	34.13
2047	70	55	8	Core	0.793304276	88.17241379	-87.82	33.13
2050	70	41	16	Core	0.76203119	74.11538462	-86.71	32.32
2105	64	43	9	Core	0.79182131	258.2833333	-86.47	34.21
6014	86	62	14	Core	0.445505461	1813.636364	-112.43	34.64
6018	34	13	15	Transient	0.131184214	446.1636364	-114.21	33.65
6024	54	20	22	Transient	0.313627827	60.80701754	-114.39	32.83
6025	48	23	15	Core	0.245327353	106.1969697	-113.54	32.92
6032	102	55	26	Core	0.37562125	1451.35	-110.79	31.51
7004	80	47	22	Core	0.775822244	50.72222222	-92.69	33.59
7005	75	45	20	Core	0.761304001	93.09090909	-93.47	33.37
7015	61	29	23	Core	0.846760465	449.1754386	-94.04	34.97
7019	78	37	24	Core	0.732349357	91.25454545	-91.34	35.91
7020	72	46	12	Core	0.828096974	312.5737705	-92.71	35.63
7021	75	46	13	Core	0.779800753	239.5438596	-92.19	35.57
7109	54	23	20	Core	0.624194332	63.51724138	-91.7	34.7
14001	73	38	19	Core	0.714063971	522.3661972	-123	41.82
14014	81	53	14	Core	0.715391395	169	-123.58	38.8
14018	69	31	21	Core	0.487610042	2328.794521	-119.83	38.34
14021	54	23	19	Core	0.462464777	59.82089552	-120.86	37.59
14054	77	44	28	Core	0.387606453	300.1111111	-119.3	36.63
14071	80	58	11	Core	0.690251111	126.4615385	-122.86	38.04
14080	44	22	17	Core	0.556408429	60.57142857	-122.23	39.76
14097	73	45	21	Core	0.479332406	331.1038961	-122.38	40.51
14098	76	56	11	Core	0.538698139	286.7857143	-121.03	38.72
